,id_card
0,806096
1,1438102
2,72344
3,427981
4,1528414
5,1505469
6,261316
7,620862
8,197373
9,939389
10,534174
11,50983
12,66534
13,786622
14,881392
15,707051
16,334589
17,1409682
18,267677
19,1223840
20,156282
21,884318
22,313382
23,664126
24,301056
25,176772
26,719868
27,1785114
28,253135
29,749447
30,663731
31,873370
32,851408
33,44617
34,1833965
35,1365522
36,890341
37,1748272
38,1474797
39,648700
40,1626817
41,731878
42,639223
43,31352
44,1422987
45,1809705
46,1227156
47,516678
48,115497
49,1152278
50,973924
51,1027223
52,576848
53,1839275
54,1677688
55,890422
56,1746613
57,1026041
58,449806
59,1023840
60,317800
61,61516
62,1298417
63,629925
64,582801
65,1246137
66,1408077
67,1246076
68,521110
69,1422663
70,197429
71,1103663
72,1708885
73,474114
74,1706590
75,1286242
76,1599770
77,522888
78,1147225
79,210239
80,171655
81,488991
82,1439366
83,1262755
84,109
85,1422977
86,486319
87,256314
88,726828
89,1428191
90,663629
91,108
92,82171
93,1762586
94,724995
95,176430
96,445945
97,1902460
98,858340
99,978129
100,181721
101,2670
102,631180
103,671149
104,310134
105,567222
106,752284
107,1143391
108,891409
109,670493
110,1361694
111,1120004
112,1105676
113,367873
114,1152299
115,1759939
116,1741032
117,1767332
118,1069474
119,998503
120,1604339
121,1414635
122,1352441
123,257704
124,416485
125,1901601
126,661612
127,1152410
128,338679
129,1433996
130,215179
131,323771
132,978319
133,761827
134,1832271
135,886288
136,995486
137,397030
138,1422860
139,57326
140,621129
141,1054795
142,310204
143,72313
144,2088
145,871428
146,70407
147,1539357
148,1772910
149,158669
150,680453
151,875456
152,1782726
153,1751113
154,526601
155,98716
156,123908
157,1744137
158,638092
159,1566573
160,639345
161,130119
162,1745971
163,252
164,1116883
165,1227717
166,1033560
167,197334
168,780548
169,1147036
170,111060
171,565397
172,392449
173,1644215
174,214050
175,1626824
176,12190
177,1889547
178,1147575
179,980597
180,1094871
181,1635457
182,1422115
183,939246
184,1301553
185,1706757
186,310212
187,947229
188,113
189,1003550
190,1153326
191,883386
192,668328
193,1091465
194,1748795
195,1130458
196,1070596
197,267992
198,212
199,1659398
200,1422595
201,1049712
202,1704005
203,1703751
204,1713200
205,1623416
206,572384
207,298518
208,805028
209,819335
210,1660596
211,211185
212,1119973
213,1374648
214,494127
215,1497818
216,146384
217,130412
218,1328612
219,890355
220,1002438
221,1759849
222,473018
223,361382
224,499849
225,1612946
226,64706
227,41147
228,396625
229,1431682
230,1240133
231,1432215
232,725716
233,178933
234,87465
235,1502607
236,499154
237,514382
238,1422974
239,568884
240,396606
241,249621
242,166873
243,890700
244,493687
245,780585
246,511784
247,310225
248,36839
249,1383099
250,727513
251,538853
252,1858251
253,733357
254,98163
255,1422214
256,767033
257,1685387
258,978937
259,507407
260,1707231
261,197385
262,463917
263,593984
264,697590
265,151068
266,1518932
267,222219
268,1152252
269,1590970
270,1428121
271,491305
272,163963
273,136797
274,1723053
275,483138
276,879023
277,675679
278,1418456
279,301971
280,1010541
281,295
282,887680
283,1633907
284,129715
285,809633
286,423597
287,64178
288,1255159
289,418049
290,1401667
291,853247
292,1427708
293,188456
294,982111
295,1147203
296,1422877
297,421983
298,921125
299,4638
300,771819
301,1644323
302,1152230
303,963686
304,988899
305,1252612
306,758060
307,1083732
308,325596
309,890326
310,1040259
311,318946
312,628376
313,1074640
314,151
315,1478399
316,600836
317,955126
318,1152108
319,1422316
320,332596
321,1277320
322,1248245
323,1101352
324,1422858
325,978351
326,23922
327,288002
328,1495597
329,715115
330,567170
331,1340386
332,1569482
333,225759
334,890696
335,1128746
336,1240145
337,283448
338,326062
339,1151968
340,921131
341,1133040
342,827003
343,1147903
344,1015369
345,1292896
346,684987
347,703172
348,736810
349,583000
350,1657266
351,131424
352,97542
353,276540
354,1438461
355,401342
356,1144504
357,1422774
358,396612
359,1309703
360,957198
361,347080
362,341164
363,62226
364,441205
365,133
366,626137
367,699083
368,1311868
369,1009304
370,1749551
371,1447796
372,1208041
373,1155829
374,1145827
375,105517
